V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
434880311.251829,502548563.518792,560493002.967676,642225908.276794,716987937.534416,804497086.962229,891645491.505872,982347927.721452,1077721482.76252,1163625832.97397,1277532693.95845,1363972449.49458,1482608188.97633,1598418764.2351,1711421684.77281,1817536804.02206,1927851006.20423,2056399328.79301,2177368262.43683,2296054103.52395
419771646.288802,484631964.803119,543286889.003072,628105533.268143,703919385.078657,786776428.384284,872579317.334735,954169339.23215,1047368501.51316,1140993025.16985,1248169640.27012,1333892140.18603,1455644254.24166,1562268285.06484,1675486584.74953,1785978207.53686,1897196255.9983,2013337010.52277,2131917027.78845,2243918626.22399
462552103.658214,530186854.270337,595932676.196516,675008122.682455,750484134.696478,830740356.873823,914362789.865546,999802612.966939,1092330116.12781,1186623118.00022,1304554318.25899,1403671625.9961,1511463805.70952,1606592452.44761,1727434492.03125,1830514677.27551,1943688229.68328,2061870431.30092,2177732466.93771,2271051394.83224
365156972.230035,426432177.932326,479041022.215262,554956392.950742,624350249.01372,706737985.400244,788568933.830137,862767300.514382,946181724.600222,1028615925.63259,1132696614.57838,1214035712.86559,1332318222.23575,1429216259.94641,1544893323.84556,1649916068.47135,1752114053.38317,1862468002.09045,1977698212.88986,2071624531.22244
444952082.960146,503663322.857812,567409185.50638,656663436.830027,735225435.370463,818970150.153082,913696877.64573,1005558726.59784,1096142899.18474,1192940739.11258,1300749781.76906,1400352188.38861,1519920425.00994,1627232587.30147,1735996708.53441,1851853118.40966,1968131234.72066,2085599149.90868,2213088397.56794,2326997204.11237
414900977.826705,480742411.464401,543662980.442311,625417421.259882,703989602.969973,787885188.507411,878356170.501066,963106995.685777,1060897580.64545,1157242737.06684,1270386679.54165,1369611302.50539,1483870618.17703,1600096845.73509,1713225549.4172,1821179939.54114,1942636040.72435,2076572350.43085,2211591381.56053,2329169589.31112
341700871.821047,404531933.340939,460528152.1953,539402337.862518,610046985.800787,688508556.056226,773893439.516185,852808563.37011,944354155.782691,1033182019.05665,1137699151.17406,1220916738.98328,1334966204.35236,1442586577.52519,1552223405.94787,1649845403.16372,1763984703.45004,1887293918.18445,2012091542.09846,2124885636.41694
349564338.162613,410913373.020459,465657279.983885,544487408.281939,616389186.63345,690772783.975528,773715417.484345,855216772.451901,944807577.811197,1033742320.8881,1140049473.22288,1228296155.94153,1334625417.41852,1439908624.94242,1542804265.2126,1643709550.29657,1757764231.31135,1876423176.18626,1994495670.04333,2100686137.75203
367377759.159619,427596357.793685,480584545.980301,561134727.400377,630339946.072544,705334624.429343,789374744.920556,873023348.660511,961212960.11425,1047830448.3072,1150447808.4887,1233378682.6374,1343468530.52897,1438072262.88759,1529865630.13741,1623839005.78615,1718404551.58308,1833187350.49145,1934136784.44865,2042741248.52769
341218556.38287,404689651.879879,458568069.873028,536004654.609285,606768852.640262,685936309.086883,771146420.051641,854748712.295194,945354202.656569,1035835703.53877,1140316571.694,1232075132.56179,1341555624.15381,1446901964.89946,1553243307.95169,1655840351.73757,1762272651.77153,1877987578.32672,2001105302.26847,2113651563.08976
458927155.076276,528404262.644819,585425804.044399,671785179.025716,748515146.032293,827563076.297625,917778450.362981,1004282900.85536,1092535914.27609,1196775199.60071,1314400809.10204,1413449776.26542,1531399817.63138,1649854836.75849,1767947655.89876,1874934581.51418,1983561848.82863,2114230745.71013,2246198634.41903,2359401973.71081
361578557.535115,422969847.305884,477601293.384479,558099997.497846,629471820.348452,712024667.460119,801174498.26118,881944926.899014,973271125.363024,1062210257.20235,1169329116.92459,1254210586.31562,1364343161.94082,1471708113.80633,1573790790.90992,1675847367.57335,1777635083.84184,1898675779.12811,2022006763.08586,2128423289.1902
439125340.470167,508106824.805675,568619856.26073,655351434.454146,730816296.909776,813392859.498503,902006516.520164,991168589.001038,1085656494.93065,1180598391.28258,1284843968.56442,1390490032.12409,1493334325.2695,1617853844.36605,1731209267.27125,1832566350.70347,1959431143.16446,2101065102.59176,2241107974.25164,2336647612.59254
415667545.85867,478186247.119701,537434354.497822,613247669.973811,690947770.837111,768300365.220705,854582428.428321,931574642.400174,1027880014.19426,1112501186.40261,1211544456.33279,1290533851.13331,1402776299.23802,1507519332.9852,1612089279.65284,1710007730.52294,1806223635.29952,1913491906.9601,2032120161.82742,2141481399.77458
370693826.860229,430842145.868351,488256755.642679,565842648.644152,634973890.488794,711289598.71941,795881536.594424,880943050.933757,971370957.557491,1061787954.51983,1170789122.83155,1261189877.02659,1380721439.01481,1492614015.14493,1603714789.24665,1708171311.80508,1828199862.49726,1946055554.69938,2068224445.16669,2174647613.31042
446299328.567716,516404868.930997,571504636.782782,655527814.87907,736310440.176307,817681583.459608,910726049.35088,993902356.190131,1093592220.36893,1184319596.9941,1296222764.89569,1387264527.84014,1496928574.7715,1615106532.34534,1734244664.21104,1841353298.22298,1966643710.88565,2092771409.85971,2225068206.52653,2333789310.83098
412704584.751956,472411884.692006,534391926.046508,617038114.159812,690906462.808415,771571196.148256,867338236.33502,952034844.896648,1041434789.67665,1126597677.02233,1232183686.36047,1319033268.29396,1429849751.47681,1539848656.65679,1646363155.52737,1757086943.2973,1862430196.40974,1996670028.22935,2104090305.23274,2219766529.14893
352102960.990928,413849254.540166,471275692.394056,549682021.316381,623875707.118714,703275222.516744,788829655.249423,873492192.570089,961490869.48386,1049250984.0366,1158973734.05654,1246546186.79931,1356809888.72678,1463595109.36841,1564626988.51046,1664558320.84432,1774148204.20936,1897589255.35004,2024678259.18964,2135450272.32986
339947216.190275,398443859.82232,453834697.46795,529568092.818494,600406104.265198,678795093.239487,760945708.429454,839152899.490157,927823366.280314,1018420024.00818,1122235432.07838,1208953262.62512,1317884457.83838,1421161264.48435,1529220199.11386,1628336782.35295,1736786878.68313,1853355413.68075,1971866229.79376,2074090003.64439
390680004.246948,453412700.735556,511861275.652836,587876513.476962,658180521.947691,734788801.688857,820131841.705993,895895971.515156,987439974.357269,1075424791.36945,1189004801.12195,1284010068.59363,1406492310.83813,1519063809.79013,1630746666.3073,1731386856.55067,1835284326.85972,1960468001.6096,2076344564.71258,2171688447.40252
396299664.248304,462945742.034743,524599392.931978,602332837.341004,678227622.209172,755259031.922956,845274299.860738,921102415.971219,1007462672.10735,1104568396.07438,1208185921.64649,1295469842.81502,1405721931.03917,1517036388.32471,1623060278.92475,1729200364.1293,1832401385.15969,1951987350.53205,2086242127.08043,2196928386.43242
425293149.212049,491057872.622124,550536477.553322,629220227.516125,700294044.590809,781212976.28272,864815016.209037,946668742.699883,1037188324.64274,1127954798.77309,1234267631.20173,1325392733.27143,1439456717.68161,1550322657.61574,1653002939.98508,1762179439.70643,1882474119.64547,2009784412.95262,2128595072.5314,2243980704.68938
386292889.88437,447004847.822949,502466974.997844,582128439.587574,648888454.032207,725526277.995137,808857098.880158,892709285.252005,982584911.211509,1073579157.53892,1175852071.78635,1265672126.40532,1383504890.32162,1491192061.578,1606472896.69162,1701746337.5533,1816459667.69228,1947004915.1526,2079040626.44685,2185096812.31137
375172591.133502,437301644.774485,495450954.431022,576184393.505368,650029066.469708,730221010.04655,816404486.745567,900042611.185329,989159652.400146,1082193800.45494,1192134617.31541,1275069780.87764,1390586297.62449,1492661673.06108,1606683001.67773,1705317568.77885,1818188738.10051,1945231670.11411,2069781224.74438,2173183185.73813
601014067.887819,679917825.761697,754970425.927851,843436413.962299,930628051.616508,1018129258.84018,1111466408.76337,1214323126.59917,1323498022.09591,1420939313.92583,1540224187.87793,1663512789.98574,1808588056.18402,1953161395.55427,2079699724.00681,2179070612.13359,2320371965.60592,2464531029.76483,2606386598.02202,2710638997.30635
372631194.957057,436973360.539019,488356914.890939,570600683.842431,634759156.617879,709485702.599065,796915872.606895,873645226.407309,956742666.572489,1039779921.35703,1149202746.05379,1228551143.7317,1340141585.44605,1432844928.30111,1540032181.55334,1644583270.45111,1757511359.89591,1879868659.63608,1999497762.59755,2109669128.61307
420886218.325926,488451178.980741,547092253.752086,628631832.035271,704188065.600733,788729555.674405,879119681.111565,960021609.399784,1057310133.73066,1154763380.18621,1265695550.85462,1363899213.09449,1487131133.96776,1595462751.80397,1708360081.36499,1815838100.93558,1935936801.56356,2066849863.91044,2190959195.53491,2314223529.49686
451017921.234101,520565871.055154,582631626.347147,669323320.965071,746921945.550673,830283940.086772,920548320.903773,997671534.062836,1095411790.98818,1191365389.83774,1305108603.88149,1405938867.5917,1528456635.6308,1648429191.88906,1751304047.32692,1849033913.48767,1954370470.39473,2068702091.62394,2200829716.529,2306802723.69796
373225697.941288,432267235.273256,491312323.656137,569660593.22772,643178785.148168,723183384.366266,812105673.752199,892353828.91508,979718101.052559,1068708760.58577,1181281209.75512,1275065196.85572,1383373551.49019,1489078928.96172,1593885579.61781,1696281162.83991,1813252350.92401,1941078496.92912,2060103284.99777,2166745394.78459
435778965.025315,500015845.265057,560394372.016047,644414671.680428,721842914.025217,804941665.500802,892404303.845971,981492605.631134,1080358469.16381,1175881893.45816,1288024406.68794,1380382812.3771,1495436541.11777,1608593453.86432,1734241979.50937,1834983902.70641,1946064722.63087,2072416648.21859,2198945222.29354,2299586510.87751
411790687.913807,475182887.267328,536761378.430771,619652663.441053,692265987.056176,777148707.451317,866551234.84392,949612765.987009,1035560524.7709,1126629527.41499,1240792946.47678,1326202245.66071,1432949648.08458,1538121200.30631,1640786681.66679,1743367913.49299,1865990999.69177,1987691943.345,2126728850.85969,2236978182.56379
445149482.199228,504813148.434392,566365224.651751,651945157.495461,728578996.706939,804688232.930317,893363746.486546,981039230.143555,1077323162.08865,1171873947.08516,1280526853.52613,1374143554.49204,1497238266.45286,1599898207.22201,1705520588.43002,1807467973.75649,1921951339.42008,2039790862.71283,2174925985.07545,2293732831.82536
341809610.344688,402136654.492319,460006003.23744,538987496.08329,609309227.532935,688651454.805887,773590235.662906,855784237.55009,943262775.887613,1031219927.77175,1137852898.35373,1229176499.17139,1338979031.55912,1444811160.52747,1549865473.93504,1653231839.42494,1764882764.6787,1885166161.99684,2011225261.44191,2120590408.71422
388371477.787088,454215222.318757,511917758.587317,592070231.061213,664054406.25178,743820007.171241,827092036.22399,907403798.22545,996882227.82791,1087405465.04611,1199743120.19851,1288066082.55403,1402292464.34918,1514612019.40604,1625865539.94618,1730536257.35456,1843440510.63793,1957911448.11569,2088070455.78209,2205663823.91425
431376754.402299,498858412.229858,563824324.090531,646306144.444737,717399837.313912,794371025.840407,887929468.759736,969078576.675809,1054685499.75247,1157428246.12005,1274609572.09551,1359187301.04622,1470543702.00698,1595552977.49698,1702789800.65926,1792354926.52453,1901401948.93789,2022686599.89187,2151558874.06353,2270489159.63177
411558517.116893,477961535.393764,539540614.074529,619810605.242301,691259928.31553,767171090.881125,853520674.33691,932879456.557581,1021926469.12295,1108149325.78877,1215570041.15389,1289584496.85485,1391141507.31071,1492483044.33092,1608006980.70538,1696115325.4007,1795759723.34774,1914244597.89448,2025797407.0423,2126901562.83965
450478469.356785,515688170.364795,577540839.851723,664269638.769779,739418206.181932,827395346.055123,915458565.10763,997937479.77096,1096654734.36406,1188747028.90515,1297680862.24902,1392336466.3585,1515584248.0648,1628436206.62356,1751662419.61795,1864012488.88424,1985570011.7135,2110937258.61701,2251664360.32898,2383084601.89439
340141564.242725,399762399.083716,454716063.319777,533143366.479897,602326460.613825,678339695.11503,763520803.474246,846417920.960785,937484812.758679,1029402307.86242,1135169240.01461,1218150779.78656,1326480487.17249,1430015260.63982,1530416179.1059,1629583714.00386,1739113113.29944,1862818283.07098,1983767936.05732,2095208891.15185
350658829.998355,411365425.586119,465785024.838864,547408566.671658,618733164.691356,698283439.705673,779453899.241564,858445409.407342,945694205.978498,1035710919.18099,1141781240.50168,1230659078.36092,1335148439.94616,1440485308.27253,1543742387.07448,1637501105.1147,1744671296.33781,1868108184.15678,1987128837.77329,2082834852.79498
398834403.407903,465999680.50323,526535291.987279,604626863.838946,681133501.237101,757475705.329875,848787091.571559,933454766.316745,1023770819.74754,1119951832.03683,1226125697.07697,1313001987.42895,1420174749.61042,1532073912.96251,1645320427.11657,1752482625.75193,1869394770.74072,1983426325.75021,2102341662.58379,2215600760.23348
355016914.994107,416103392.642555,470793832.093679,549863134.692867,623181190.260674,703379703.605131,788197164.032684,870964438.370126,959369049.719689,1046168346.40877,1149273775.17798,1241102441.38633,1356506529.65469,1466533518.9268,1581115204.17626,1686540436.00192,1800267070.86284,1914506046.80597,2028988641.27763,2138153961.92377
349537910.204646,414558489.150907,468476755.690642,549643222.523278,622405049.842319,699177597.055253,784354492.369484,866121708.438553,957844197.595545,1044741219.29264,1150700252.92618,1239326781.7224,1349740428.75314,1458296420.85422,1560242414.49838,1664134305.84243,1781547840.63961,1896633167.01446,2017586824.1632,2120523122.82343
394301480.726361,460435232.473899,517991398.759066,596432151.285103,674921775.511138,753927605.070501,847174952.763849,938165148.899485,1031353438.73463,1124605833.88413,1237262655.61009,1331699322.07871,1439499664.25388,1556740974.39566,1674163344.46137,1788697340.1287,1906974691.70755,2042224146.74173,2170877094.26725,2281169562.01905
