V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,437316753.823437,504493865.40254,561890613.379468,643247186.869604,717558274.547228,805018674.770779,892256088.097434,982979744.514149,1078334831.46324,1164188740.24728,1278234904.55174,1364457824.06405,1483375027.62324,1599094375.39603,1711916614.44774,1818220468.80238,1928675532.73244,2057285674.76078,2178019384.70351,2296695377.79306
0,422025052.735027,486607051.151102,544777314.003128,629069870.407265,704442634.357465,787158498.2525,873174233.849235,954811000.472767,1047738805.02096,1141657980.26542,1248809536.74696,1334628637.3555,1456363044.66055,1562866317.24338,1676205611.42627,1786767176.09458,1898008857.31403,2014189499.9031,2132852764.93647,2244897792.51498
0,465035066.492532,532211212.157069,597461477.064425,675999703.105193,750963275.244564,831349135.725756,914951485.490045,1000280756.46821,1093000236.99155,1187196085.80741,1305269113.53272,1404209881.02763,1512094199.24158,1607434951.97208,1728263465.62734,1831040008.79552,1944636677.68322,2062775137.85795,2178813100.78448,2272124765.4122
0,367288696.994702,427260752.384607,480218370.876453,556003905.754144,624820476.51061,707274715.095289,789154265.236726,863396480.52892,946762560.011073,1029332577.05215,1133388933.9349,1214733278.5875,1333085680.37422,1429783736.99497,1545628598.97706,1650741824.87819,1752872078.38035,1863387145.93856,1978617531.32674,2072670730.6213
0,445734794.059713,505378707.237989,568986075.594405,657153259.67544,735746273.855525,819514145.443291,914077456.08851,1006153942.7391,1096778019.21604,1193310487.22175,1301320102.79053,1401005336.35081,1520574057.11488,1627670766.66043,1736660042.35238,1852553349.45295,1968925936.50832,2086519982.81096,2213934503.61057,2327899676.5484
0,417137566.577804,482374517.999172,545113956.4568,626288867.330417,704543566.415355,788227127.855123,878830224.307691,963239908.156804,1061388083.08342,1157857115.64025,1270973665.3714,1369991959.65726,1484563227.6116,1600802207.68539,1713944598.78645,1821875340.96287,1943358264.33636,2077190087.43007,2212382321.54426,2330044922.28157
0,344166607.350451,406472437.406498,461760570.847799,540493493.688157,610493299.119735,689073757.167972,774318586.056527,853431422.745183,944989281.231332,1033839873.65793,1138319660.60817,1221646027.35517,1335474898.69237,1443306497.14378,1553023635.97944,1650083546.95644,1764574898.0355,1888158036.87799,2012775538.99367,2125705489.50283
0,352078024.919891,412933374.961219,467108977.185492,545553716.42684,616925622.425814,691312482.10083,774241571.998432,855417190.333518,945474060.410438,1034346553.85916,1140700111.90747,1228934303.26615,1335288578.09377,1440611814.35828,1543570226.86474,1644462049.72094,1758479293.70429,1877289287.29883,1995288263.09115,2101405401.81568
0,369165527.757368,429658403.880564,482103452.8503,562255334.259441,630866867.483337,705868178.519789,789958297.591452,873687237.149439,961810369.113681,1048492907.86604,1151149898.50172,1234129355.01443,1344189296.32555,1438790633.3874,1530762503.68964,1624709120.49823,1719290999.51049,1834211904.37975,1935117224.52695,2043392932.35592
0,343697308.852584,405750096.163587,459998745.994959,536781684.527279,607264140.72316,686413189.581253,771729009.137173,855258310.12552,945965760.788764,1036262349.2637,1140968814.82503,1232315080.72831,1342248590.59717,1447629450.56065,1554026229.08094,1656555774.25496,1763018476.35156,1878899170.76213,2002013855.97276,2114625758.68521
0,461349854.653779,529720614.468098,586941079.939105,672833107.859959,748944311.92334,828106474.653398,918274739.328636,1004895838.45336,1093190547.28884,1197435967.40623,1315066060.99223,1414179980.74224,1531929298.705,1650458313.07131,1768314798.60445,1875642214.8424,1984195108.821,2115110545.6806,2247099208.02238,2360369225.64462
0,363757693.057683,424293380.909081,479062370.519559,558952270.815384,629998924.147477,712528255.856616,801584404.729773,882363150.700244,973892426.270082,1062723541.3751,1169920792.11425,1254834303.18548,1365112864.50914,1472458721.96018,1574595835.99235,1676612725.31706,1778321460.45665,1899617942.17416,2022889088.78728,2129271029.60731
0,441485477.62543,510047848.871201,570052660.4958,656053457.234838,731368721.982287,813838139.332031,902484594.136177,991746327.505776,1086269143.52966,1181171651.35713,1285399519.52679,1390987180.18747,1494013085.43057,1618587839.73708,1731916328.12141,1833319511.12445,1960131245.34355,2101874469.2782,2241877594.2459,2337507902.28805
0,418237398.107247,480298133.038432,539083633.290096,614380834.338881,691474270.317181,768836249.967912,855141390.715775,932120501.123328,1028472819.31086,1113077339.87568,1212118830.72903,1291263873.84104,1403372211.48893,1508149953.49595,1612831541.32714,1710371222.14647,1806801127.93882,1914316656.02999,2033177557.06399,2142508181.65938
0,373004197.74127,432845067.481353,489578131.191305,566801221.129373,635549230.961302,711597260.144287,796522343.256184,881139016.710518,971995698.956736,1062324982.18261,1171491956.39824,1261649665.71048,1381431603.15582,1493368600.8945,1604480004.09685,1708839302.49291,1828811908.52838,1946913142.71438,2068990205.49228,2175475434.08914
0,448509494.647218,518227088.644521,572726075.95479,656631596.966993,736878670.685391,818172024.913528,911321301.555135,994359548.52155,1094137631.12961,1184911360.72598,1296880069.23356,1387997578.51309,1497660345.55242,1615673923.25812,1734746685.57094,1842132106.84995,1967426234.01831,2093620211.64988,2225850172.10555,2334704281.20787
