V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,286596683.084214,354266921.402344,425049856.514336,500756034.819677,580720543.468103,667397362.633628,755705774.177906,851084436.518438,949449474.612152,1047182436.62671,1153772241.23768,1259095481.77432,1372054421.50717,1489207642.85631,1607464304.54418,1728282225.82208,1849084290.62712,1976658183.10559,2100295419.45117,2232021810.88997
0,278412302.128942,344412305.577984,414678235.323191,490648335.476615,570221773.089795,654030954.975189,740875896.863089,831270070.025557,927366378.218762,1027573186.55306,1129795347.25127,1233762869.67513,1346756843.37701,1458215330.54788,1575389866.17997,1696920906.18635,1816752843.25595,1936615679.0469,2057882938.63483,2184723260.61925
0,300291713.134972,368949621.964846,443831339.850211,519662679.353634,601070635.449159,686022847.877611,773965073.950501,868204071.811423,966652365.843149,1069510246.73906,1179404245.11093,1292226579.83621,1401436672.01534,1510053606.52235,1633722797.08785,1754298768.53599,1878270038.82122,2002006471.78188,2124662135.88558,2244520932.00174
0,252317178.347575,314854851.080455,381171985.580532,451643642.259947,526369222.063757,607630556.910398,690292031.716705,774975885.413795,864111326.4206,956349666.023344,1054166903.82869,1153125182.6627,1261334756.13162,1365116202.37913,1480263307.03954,1595756514.48824,1707630673.37772,1821291114.28617,1937612406.52699,2051915063.45241
0,290241067.321621,355314826.275826,428549629.194335,507111318.601263,589063179.691992,674482316.200143,766181646.359599,862461205.537049,959043424.374131,1061961124.2377,1166108281.6436,1278116365.90689,1391807742.07764,1505144161.79103,1621852783.5288,1747799794.56876,1872021739.94509,1994346085.52714,2121790782.67944,2251404436.81679
0,274812784.265209,340430729.400514,411596759.189677,485676757.10422,565558309.973557,648962735.709367,736889196.293819,827734314.069518,925099857.68411,1025501231.60555,1129508686.72701,1238580264.88142,1347488445.77671,1462632895.79578,1578908025.85954,1698260627.79222,1822150680.47954,1949853027.77328,2078670686.38442,2207692736.66018
0,238937180.186339,300635449.308278,366158755.697196,435922604.884552,509474408.664939,587296049.112347,669292095.750494,754231316.230721,844460070.747564,937339785.713851,1033320711.79566,1131506602.09106,1235115939.95332,1341729628.5125,1451424560.09825,1561150560.46803,1676296396.28826,1793800099.73303,1912606196.72515,2034078390.95012
0,244333171.541929,306348273.836924,372232571.086761,442713407.165992,517484038.828416,594626106.137276,676661169.233558,763144208.330799,853960835.86569,947839021.277186,1045528871.50177,1146496825.29915,1248149111.24125,1354832659.67373,1462742380.28512,1574851884.86645,1691076713.94988,1807625358.17198,1924329941.01122,2043686766.52146
0,253450943.216703,316234798.398081,382440660.654655,454631778.43276,529398112.893335,607760155.334931,691376698.188013,780152484.261786,871515681.396833,965785091.733103,1063203923.88047,1163133169.36895,1267690178.21869,1370671702.21893,1474537978.08181,1584595980.52327,1692708134.47361,1808484817.56778,1917612896.19882,2039074306.48428
0,238825203.424626,300454292.015853,365694455.616835,434896217.587882,508543641.09267,586500143.789138,668492635.910013,754810759.378369,844778216.104511,938148646.626187,1034225384.18237,1135221627.09522,1237522479.74537,1343291533.09113,1451792923.02324,1563569336.99782,1675704740.9643,1790228288.47805,1908405272.36356,2029703255.11106
