V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,150720070.739223,150226944.000196,136840756.865133,142491152.049927,136837731.079126,137621312.137151,136550313.919529,131895307.995711,128885356.851091,117006303.620569,124462663.314063,105362342.28973,111320606.11607,109886732.539711,104452309.90356,89938242.9803006,79591242.10532,80627491.6551909,77723965.2523396,64673566.9030926
0,143612750.606085,142194745.573117,130099078.679936,138421534.93065,134220861.26767,133127543.277311,132298336.986146,123540930.447211,120372426.802201,114084793.712359,119014189.49569,100865767.680369,109606201.283543,104650986.695507,100815745.246307,89846269.9082247,81256014.0580808,77573820.8561994,74969826.3016406,60174531.8957301
0,164743353.35756,163261590.192223,153630137.214214,156337023.751559,149892639.795405,145326287.848145,140986411.539545,132076684.656788,126347871.148398,117685839.068354,125864868.421793,111983301.191428,110657527.226241,97381345.4497326,94540668.5394938,76741240.2595314,66366638.8620017,60768666.0760774,54150964.8989051,27603833.410453
0,114971518.647127,112405901.304152,99046385.2959214,104360263.494197,98451254.4468535,99644158.1848913,98862233.5200204,88420595.1151251,82651233.5904732,72982911.0288094,79222030.1062104,61608095.9247944,71750924.2426005,64667534.6158385,65365291.9375231,54985310.3899484,45241405.0026228,42096031.6523842,41005124.7997452,20755667.1688845
0,155493726.738093,150063880.962162,140436446.40007,150041941.074177,146683094.163533,145031829.243148,147895809.728911,143692737.202055,137734594.841911,131349362.984049,135211821.146924,122888970.443923,128766315.037242,122526604.869403,114807258.823584,104753554.884191,96904196.5632309,92173897.2838247,92143720.9311279,76495239.7316047
0,142324782.312595,141943788.598657,133517197.267122,140612110.226197,138985256.441798,139264392.145756,141941028.013872,135505594.087286,136288225.399315,132355884.034696,141464978.644395,131411694.775843,137074781.834895,138169311.889614,135036572.926914,123614713.170652,121207583.856816,127337059.65679,133711635.159844,122352185.621388
0,105229427.164112,105836988.09822,95601815.1506029,104570888.803604,101018890.454796,101777708.055625,105026490.306033,99200106.5144618,100529210.483768,96500087.9440762,104998948.812508,90139425.2641115,100358958.739048,101576868.631287,101599075.881195,88932986.4884033,88278501.7472375,94357937.1449614,100169342.268521,91627098.5527035
0,107744853.377962,106585101.124295,94876406.0987317,102840309.260849,99441583.5973978,96686375.9635542,97580402.7648745,92272982.0027188,91513224.5447479,86507532.581974,95171240.4056978,82437477.967002,87139466.8525239,85779154.6845446,80827846.5796255,69610164.8544873,67402579.7544175,69663929.1268547,70958322.0799312,57718635.2942214
0,115714584.540665,113423605.482483,99662792.1956449,107623555.82668,101468754.590002,98108023.1848575,98581599.4034396,93534752.887653,90294687.7168485,82707816.1329364,87945974.6212524,70996185.6454847,76499118.1068664,68118931.1684711,56224525.6078274,40113139.9749578,26582865.0368826,25727086.8119622,17504328.328136,4318625.87164111
0,104872105.427958,105295804.147734,94304290.3781237,101885466.939397,98720499.63049,99913045.7921144,103236373.22716,100447550.747151,101187544.684252,98113702.6375171,106743430.642659,97093453.6330914,104726110.851803,104337917.469527,102233306.057707,92986437.2571429,87313735.3872636,88670882.2840806,93608583.6092095,84922503.5741475
0,163452008.626201,162944451.42301,148615764.454084,156098920.484107,150589879.417267,145585140.757339,145263901.162702,137329109.976757,129444708.010442,126520410.335937,134724580.170003,121215247.933668,125249848.019543,123980035.460437,119752432.416118,104331477.439253,91608493.7771859,92342048.6120974,93478223.0988405,76433553.6055924
0,114481015.627462,112821365.782181,101219514.570751,109855744.567809,105946402.384638,108069883.559116,112430870.341346,106425655.218476,106135458.514925,100638815.711193,109357504.183089,94213669.0582486,100679972.756574,100016991.407588,94045593.4981815,82949220.5982098,73399813.5114185,76568341.2438985,80206627.1187402,66557123.0462726
0,152908106.180511,153073220.608269,141050146.782838,149181435.442278,143780284.776752,141305409.878279,140727247.903624,134906186.171404,131089939.008055,123757937.4009,125597930.968937,116269116.295604,113575190.184502,116240991.959565,110628547.53961,93249190.4707051,90428918.0400586,97227041.8800451,102973612.79993,78461970.0836274
0,139957185.838451,136688107.52897,124692943.562635,127238408.559512,123806258.566839,119308130.50027,118378460.747179,106727413.980628,105087502.517714,93361683.8456807,93656893.352823,71750972.9478448,75169658.1483285,69101317.4039397,60618332.9646011,42897640.5817618,26935486.2586801,19010063.8962482,16415154.8780344,144674.227579684
0,119035517.28248,116488747.027101,105733891.627104,112084379.802271,106232131.508937,103745511.486629,105035896.643462,100915762.539612,99650624.5291327,94501770.6407246,103764467.741964,91088708.651207,102280075.620139,103449991.8365,101779614.004012,91117630.1215895,90688505.4882221,91218428.7932273,93411594.4323802,79068149.2269555
0,155654779.226622,156091786.214397,140224698.142656,146620987.561524,143648078.925288,139955488.595308,141339259.989248,131434659.663559,129821837.947145,119578494.839085,124803067.471444,107195380.940781,107243659.069396,105833638.875132,102341398.881552,87101309.1026333,82631807.6738726,81122749.1445029,82416734.7526516,63391345.7796879
0,138405204.392328,133535118.72413,123221446.262551,129738452.552125,124343383.757013,121814573.169858,126194837.560389,118853421.026433,113284030.206058,101800410.364337,105571790.83383,87607978.1929151,90066232.7193681,86706694.2584731,78954926.9788399,67599762.8501364,55801567.0577269,60553634.8855972,52210251.4015933,38715299.9337852
0,109135536.758404,108648259.089955,98994130.3179129,106615976.827658,104650145.095923,105094213.437032,107534570.820472,104312589.928213,102203617.68164,96511314.6387021,107080814.046173,93952224.7999312,100722886.450446,100154577.626871,94119160.5407459,82421101.1786128,77752839.3271895,82383400.6579015,88503158.9449588,77752473.1445436
0,103599812.805525,101484633.598257,91027216.4649707,97482934.088114,94293502.4988959,95015670.6337384,96235019.4752487,89934702.0668025,89260738.9412332,86614599.5489149,94639780.9749328,82368622.5418724,89410622.5018251,87975858.1316013,87021714.6669941,75836841.6246385,71633634.1533366,73483657.3662182,75868113.7273314,60909225.2531921
